id,airport_ref,airport_ident,length_ft,width_ft,surface,le_ident,le_elevation_ft,le_heading_degT,he_ident,he_elevation_ft,he_heading_degT
245470,18921,K5R2,3500,50,ASPH-G,18,20,179,36,20,359
245854,18923,K5R4,3700,75,ASP,18,63,180,36,74,360
242112,18924,K5R8,5000,75,ASP,15,,157.7,33,,337.7
244982,18925,K5S0,3610,47,ASP,9,,108,27,,288
240574,18926,K5S2,3900,30,ASP,13,,148,31,,328
245265,18927,K5S6,5100,150,ASP,14,,160,32,,340
245451,18928,K5S9,3780,32,ASP,16,,178,34,,358
244023,18929,K5T6,8500,100,ASP,10,4110,111.8,28,4108,291.8
241405,18930,K5T9,5506,100,ASPH-F,13,887,,31,882,
245965,18931,K5U1,3130,115,COP,16,,177.5,34,,357.5
243511,18932,K5U5,1525,90,GRS,7,,89,25,,269
243512,18932,K5U5,3800,40,ASP,18,,196,36,,16
242324,18933,K5U7,3827,50,ASP,7,3242,90,25,,270
242621,18934,K5V5,4840,75,ASP,2,5270,32,20,,212
245249,18935,K5W1,3074,50,ASP,10,,120,28,,300
244749,18936,K5W4,3402,60,ASP,4,292,33.1,22,304,213.1
243603,18937,K5W5,3004,40,ASP,16,244,160,34,244,340
241966,18938,K5W8,5001,75,ASP,4,597,39.9,22,614,219.9
240634,18939,K5Y1,3700,60,ASP,9,760,90,27,760,270
239923,18940,K60C,3085,100,GRS,6,944,60,24,944,240
519827,519826,K60D,2180,60,Turf,10,,,28,,
241771,18941,K60F,4300,50,ASP,17,1344,180,35,1338,360
245708,18942,K60J,4000,75,ASP,6,,56.7,24,,236.7
244622,18943,K60R,3204,60,ASP,17,227,178.2,35,206,358.2
243776,18944,K61A,4303,80,ASP,18,142,179,36,142,359
244777,18945,K61B,2200,60,ASP,09L,,103.7,27R,,283.7
244776,18945,K61B,4800,75,ASP,09R,,103.7,27L,,283.7
244778,18945,K61B,3850,75,ASP,15,,164.7,33,,344.7
244261,18946,K61C,3801,60,ASP,3,798,28,21,795,208
242226,18947,K61R,4000,60,ASPH-F,14,,,32,,
241488,18948,K61S,3188,60,ASP,15,631,167,33,641,347
240498,18949,K62D,2907,30,ASP,4,896,35.1,22,902,215.1
240499,18949,K62D,2700,140,GRE,18,898,180.4,36,894,0.4
243718,18950,K62S,5200,60,ASP,7,,87,25,,267
258065,18951,K63,1845,120,TURF-G,4,,,22,,
